date,equity,position,daily_return,peak_equity,drawdown
2021-09-27,10000.0,0,0.0,10000.0,0.0
2021-09-28,10000.0,0,0.0,10000.0,0.0
2021-09-29,10000.0,0,0.0,10000.0,0.0
2021-09-30,10000.0,0,0.0,10000.0,0.0
2021-10-01,10000.0,0,0.0,10000.0,0.0
2021-10-02,10000.0,0,0.0,10000.0,0.0
2021-10-03,10000.0,0,0.0,10000.0,0.0
2021-10-04,10000.0,0,0.0,10000.0,0.0
2021-10-05,10000.0,0,0.0,10000.0,0.0
2021-10-06,10000.0,0,0.0,10000.0,0.0
2021-10-07,10000.0,0,0.0,10000.0,0.0
2021-10-08,10000.0,0,0.0,10000.0,0.0
2021-10-09,10000.0,0,0.0,10000.0,0.0
2021-10-10,10000.0,0,0.0,10000.0,0.0
2021-10-11,10000.0,0,0.0,10000.0,0.0
2021-10-12,10000.0,0,0.0,10000.0,0.0
2021-10-13,10000.0,0,0.0,10000.0,0.0
2021-10-14,10000.0,0,0.0,10000.0,0.0
2021-10-15,10000.0,0,0.0,10000.0,0.0
2021-10-16,10000.0,0,0.0,10000.0,0.0
2021-10-17,10000.0,0,0.0,10000.0,0.0
2021-10-18,10000.0,0,0.0,10000.0,0.0
2021-10-19,10000.0,0,0.0,10000.0,0.0
2021-10-20,10000.0,0,0.0,10000.0,0.0
2021-10-21,10000.0,0,0.0,10000.0,0.0
2021-10-22,10000.0,0,0.0,10000.0,0.0
2021-10-23,10000.0,0,0.0,10000.0,0.0
2021-10-24,10000.0,0,0.0,10000.0,0.0
2021-10-25,10000.0,0,0.0,10000.0,0.0
2021-10-26,10000.0,0,0.0,10000.0,0.0
2021-10-27,10000.0,0,0.0,10000.0,0.0
2021-10-28,10000.0,0,0.0,10000.0,0.0
2021-10-29,10000.0,0,0.0,10000.0,0.0
2021-10-30,10000.0,0,0.0,10000.0,0.0
2021-10-31,10000.0,0,0.0,10000.0,0.0
2021-11-01,10000.0,0,0.0,10000.0,0.0
2021-11-02,10000.0,0,0.0,10000.0,0.0
2021-11-03,10000.0,0,0.0,10000.0,0.0
2021-11-04,10000.0,0,0.0,10000.0,0.0
2021-11-05,10000.0,0,0.0,10000.0,0.0
2021-11-06,10000.0,0,0.0,10000.0,0.0
2021-11-07,10000.0,0,0.0,10000.0,0.0
2021-11-08,10000.0,0,0.0,10000.0,0.0
2021-11-09,10000.0,0,0.0,10000.0,0.0
2021-11-10,10000.0,0,0.0,10000.0,0.0
2021-11-11,10000.0,0,0.0,10000.0,0.0
2021-11-12,10000.0,0,0.0,10000.0,0.0
2021-11-13,10000.0,0,0.0,10000.0,0.0
2021-11-14,10000.0,0,0.0,10000.0,0.0
2021-11-15,10000.0,0,0.0,10000.0,0.0
2021-11-16,10000.0,0,0.0,10000.0,0.0
2021-11-17,10000.0,0,0.0,10000.0,0.0
2021-11-18,10000.0,0,0.0,10000.0,0.0
2021-11-19,10000.0,0,0.0,10000.0,0.0
2021-11-20,10000.0,0,0.0,10000.0,0.0
2021-11-21,10000.0,0,0.0,10000.0,0.0
2021-11-22,10000.0,0,0.0,10000.0,0.0
2021-11-23,10000.0,0,0.0,10000.0,0.0
2021-11-24,10000.0,0,0.0,10000.0,0.0
2021-11-25,10000.0,0,0.0,10000.0,0.0
